Test Year,Test Type,Test Site,Student ID,Pre-Test Score,Pre-Test (%),Post-Test Score,Post-Test (%),Percentage Change,Unit 1 Score,Unit 1 (%),Unit 2 Score,Unit 2 (%),Unit 3 Score,Unit 3 (%),Unit 4 Score,Unit 4 (%),Unit 5/6 Score,Unit 5/6 (%),Unit 7 Score,Unit 7 (%),Unit 8 Score,Unit 8 (%),Total Score,Total (%) Correct
06/01/2016 12:00:00 AM,YEAR END,JONES,Jones 9,35,23%,109,73%,50%,3,12%,4,16%,3,12%,9,30%,10,33%,23,66%,18,60%,214,43%
06/01/2016 12:00:00 AM,YEAR END,JONES,Jones 10,37,25%,102,68%,43%,3,12%,3,12%,5,20%,7,23%,12,40%,18,51%,18,60%,205,41%
06/01/2016 12:00:00 AM,YEAR END,JONES,Jones 11,24,16%,108,72%,56%,2,8%,6,24%,5,20%,7,23%,8,27%,14,40%,17,57%,191,38%
06/01/2016 12:00:00 AM,YEAR END,JONES,Jones 12,27,18%,32,21%,3%,1,4%,2,8%,3,12%,2,7%,1,3%,3,9%,2,7%,73,15%
06/01/2016 12:00:00 AM,YEAR END,JONES,Jones 13,49,33%,98,65%,32%,2,8%,4,16%,5,20%,9,30%,13,43%,18,51%,19,63%,217,43%
06/01/2016 12:00:00 AM,YEAR END,JONES,Jones 14,42,28%,100,67%,39%,1,4%,2,8%,5,20%,8,27%,10,33%,20,57%,16,53%,204,41%
06/01/2016 12:00:00 AM,YEAR END,JONES,Jones 15,41,27%,101,67%,40%,1,4%,3,12%,4,16%,6,20%,7,23%,16,46%,18,60%,197,39%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 1,53,35%,109,73%,38%,3,12%,4,16%,7,28%,11,37%,13,43%,14,40%,15,50%,229,46%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 2,51,34%,105,70%,36%,4,16%,4,16%,6,24%,11,37%,13,43%,15,43%,15,50%,224,45%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 3,51,34%,105,70%,36%,3,12%,4,16%,6,24%,8,27%,11,37%,15,43%,15,50%,218,44%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 4,45,30%,108,72%,42%,3,12%,5,20%,5,20%,8,27%,8,27%,11,31%,15,50%,208,42%
06/16/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 5,46,31%,106,71%,40%,3,12%,4,16%,6,24%,6,20%,8,27%,13,37%,14,47%,206,41%
06/16/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 6,57,38%,82,55%,17%,4,16%,3,12%,7,28%,8,27%,9,30%,10,29%,13,43%,193,39%
06/16/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 7,49,33%,109,73%,40%,4,16%,6,24%,6,24%,7,23%,7,23%,13,37%,13,43%,214,43%
06/16/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 8,43,29%,109,73%,44%,4,16%,6,24%,6,24%,9,30%,9,30%,13,37%,13,43%,212,42%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 9,42,28%,98,65%,37%,3,12%,6,24%,5,20%,8,27%,8,27%,12,34%,12,40%,194,39%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 10,45,30%,104,69%,39%,4,16%,6,24%,6,24%,9,30%,8,27%,13,37%,13,43%,208,42%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 11,44,29%,107,71%,42%,5,20%,6,24%,3,12%,9,30%,9,30%,14,40%,16,53%,213,43%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 12,43,29%,105,70%,41%,3,12%,6,24%,6,24%,9,30%,10,33%,13,37%,17,57%,212,42%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 13,45,30%,94,63%,33%,4,16%,6,24%,6,24%,8,27%,8,27%,17,49%,20,67%,208,42%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westside 14,43,29%,103,69%,40%,4,16%,3,12%,4,16%,10,33%,10,33%,15,43%,19,63%,211,42%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE,Westisde 15,42,28%,99,66%,38%,2,8%,4,16%,7,28%,9,30%,10,33%,14,40%,16,53%,203,41%
06/01/2016 12:00:00 AM,YEAR END,VIRDEN ALL,All Students (Average),39,26%,92,62%,36%,4,17%,5,18%,6,25%,8,27%,13,44%,19,56%,18,61%,205,41%
06/01/2016 12:00:00 AM,YEAR END,JONES ALL,All Students (Average),39,26%,98,65%,39%,2,8%,3,13%,4,17%,7,23%,9,30%,16,46%,16,52%,194,39%
06/01/2016 12:00:00 AM,YEAR END,WESTSIDE ALL,All Students (Average),47,31%,103,69%,38%,4,14%,5,19%,6,23%,9,29%,9,31%,13,38%,15,50%,210,42%
