schidkn,sex,frl,reg_size,reg_size_aid,small_size,white,black,other,totexp,tmathss,treadss
11,girl,yes,1,0,0,1,0,0,11,459,472
3,boy,no,1,0,0,1,0,0,8,528,428
27,girl,yes,0,1,0,0,1,0,20,489,470
72,boy,yes,1,0,0,1,0,0,8,559,439
34,girl,no,0,1,0,1,0,0,5,494,430
3,boy,no,0,1,0,0,1,0,9,506,467
72,girl,yes,0,1,0,1,0,0,10,536,470
25,girl,yes,1,0,0,0,1,0,18,494,434
24,boy,no,0,1,0,0,1,0,10,484,434
45,boy,yes,0,0,1,0,1,0,3,412,397
50,boy,no,0,0,1,1,0,0,12,559,445
58,girl,no,0,1,0,1,0,0,3,506,421
29,girl,yes,0,0,1,0,1,0,5,489,408
49,boy,no,0,1,0,1,0,0,9,547,565
62,girl,no,0,0,1,1,0,0,6,500,428
20,girl,no,0,1,0,0,1,0,12,473,390
66,girl,yes,1,0,0,1,0,0,8,434,405
42,girl,no,0,0,1,1,0,0,10,489,447
78,boy,yes,0,0,1,1,0,0,8,444,407
33,girl,yes,0,1,0,0,1,0,22,418,414
76,boy,no,1,0,0,1,0,0,2,489,434
22,girl,yes,1,0,0,0,1,0,11,576,456
27,boy,yes,1,0,0,0,1,0,0,463,418
42,girl,yes,1,0,0,1,0,0,14,473,433
27,girl,yes,0,1,0,0,1,0,20,489,465
20,boy,yes,0,1,0,0,1,0,1,459,434
59,boy,no,1,0,0,1,0,0,0,520,427
22,girl,yes,0,1,0,0,1,0,7,484,437
63,boy,no,0,0,1,1,0,0,7,513,503
28,boy,yes,1,0,0,0,1,0,7,468,442
21,boy,yes,0,1,0,0,1,0,15,478,414
54,boy,no,0,1,0,0,1,0,7,418,421
31,girl,yes,1,0,0,0,1,0,0,513,421
56,girl,no,0,0,1,1,0,0,21,506,431
31,boy,yes,1,0,0,0,1,0,0,576,450
10,girl,no,0,1,0,0,1,0,12,459,425
80,boy,yes,0,0,1,1,0,0,12,520,428
3,girl,yes,0,1,0,1,0,0,20,576,456
34,boy,no,0,1,0,1,0,0,5,559,605
28,girl,yes,0,1,0,0,1,0,10,412,416
75,boy,yes,0,1,0,1,0,0,11,489,395
27,girl,yes,1,0,0,0,1,0,12,528,467
53,boy,yes,0,1,0,0,1,0,9,444,390
17,boy,no,1,0,0,0,0,1,0,454,413
20,girl,no,0,1,0,0,1,0,1,500,440
57,boy,no,0,0,1,1,0,0,1,444,410
65,girl,yes,0,1,0,1,0,0,9,478,445
58,boy,no,0,0,1,1,0,0,5,536,453
44,girl,yes,0,0,1,0,1,0,3,513,483
17,girl,no,0,1,0,0,1,0,8,478,407
26,girl,yes,0,0,1,0,1,0,1,468,411
57,boy,yes,1,0,0,1,0,0,2,463,397
43,boy,no,0,1,0,0,0,1,17,547,455
55,girl,no,0,1,0,1,0,0,13,484,413
53,girl,yes,0,1,0,1,0,0,9,468,407
5,boy,no,0,1,0,1,0,0,8,468,402
48,girl,yes,0,1,0,1,0,0,13,449,424
65,girl,yes,0,1,0,1,0,0,9,489,440
63,boy,yes,1,0,0,1,0,0,10,478,421
42,girl,no,1,0,0,1,0,0,14,559,554
24,girl,yes,0,1,0,0,1,0,10,484,439
32,boy,yes,1,0,0,0,1,0,2,449,411
26,boy,no,0,0,1,0,1,0,1,454,425
54,boy,no,0,1,0,0,1,0,7,478,427
1,boy,no,0,1,0,1,0,0,9,454,439
7,boy,no,0,0,1,1,0,0,4,484,458
49,girl,no,0,1,0,1,0,0,9,484,430
15,boy,yes,1,0,0,0,1,0,11,454,408
37,girl,yes,0,0,1,0,1,0,1,429,407
67,boy,yes,1,0,0,1,0,0,0,513,433
7,boy,yes,1,0,0,1,0,0,0,473,436
56,girl,no,0,0,1,0,1,0,3,423,418
26,girl,yes,1,0,0,0,1,0,15,463,443
44,girl,yes,0,0,1,0,1,0,3,478,403
55,girl,no,1,0,0,1,0,0,13,459,419
72,girl,yes,0,1,0,1,0,0,10,459,408
53,boy,no,1,0,0,0,1,0,3,478,433
66,boy,no,0,1,0,1,0,0,3,423,411
63,boy,no,1,0,0,1,0,0,10,559,503
11,girl,yes,1,0,0,1,0,0,11,449,463
42,girl,no,0,1,0,1,0,0,3,463,388
34,boy,no,0,1,0,1,0,0,5,449,414
75,boy,no,0,1,0,1,0,0,11,459,390
2,boy,yes,0,0,1,1,0,0,12,454,413
36,boy,yes,0,1,0,1,0,0,14,494,470
16,boy,yes,0,1,0,0,1,0,6,434,405
23,boy,no,0,0,1,0,1,0,11,547,442
5,girl,yes,1,0,0,1,0,0,8,429,393
52,girl,no,0,1,0,1,0,0,18,494,418
62,girl,no,1,0,0,1,0,0,16,500,443
14,boy,yes,0,1,0,0,1,0,1,468,428
36,boy,no,1,0,0,1,0,0,15,444,410
63,girl,yes,1,0,0,1,0,0,10,500,437
27,boy,no,0,1,0,0,1,0,20,506,461
21,boy,yes,1,0,0,1,0,0,1,528,472
22,boy,yes,0,0,1,0,1,0,9,506,434
70,boy,no,0,0,1,1,0,0,15,439,427
72,boy,yes,1,0,0,1,0,0,8,559,453
20,girl,yes,1,0,0,0,1,0,4,478,418
39,girl,yes,1,0,0,1,0,0,4,494,445
51,boy,no,0,0,1,0,1,0,16,484,463
54,girl,no,1,0,0,1,0,0,13,484,437
39,boy,yes,1,0,0,1,0,0,4,468,411
12,boy,yes,0,0,1,1,0,0,9,528,434
60,girl,no,1,0,0,0,1,0,13,439,433
20,girl,yes,0,1,0,0,1,0,1,506,456
18,girl,no,1,0,0,0,1,0,9,459,398
39,boy,yes,1,0,0,1,0,0,4,559,463
25,boy,yes,0,0,1,0,1,0,12,576,470
64,boy,no,1,0,0,1,0,0,11,439,411
27,girl,yes,0,0,1,0,1,0,1,500,413
57,girl,no,0,1,0,1,0,0,8,520,440
32,girl,yes,1,0,0,0,1,0,2,459,395
59,boy,no,0,0,1,1,0,0,11,489,434
54,boy,no,1,0,0,1,0,0,13,528,492
21,girl,yes,0,0,1,1,0,0,14,559,465
72,girl,yes,0,0,1,1,0,0,6,473,448
51,boy,no,1,0,0,1,0,0,11,405,411
65,girl,no,1,0,0,1,0,0,12,602,518
62,boy,yes,0,0,1,1,0,0,6,484,422
7,boy,no,0,0,1,1,0,0,4,547,470
21,boy,yes,0,1,0,0,1,0,15,484,443
34,girl,yes,0,1,0,1,0,0,5,449,428
53,boy,yes,0,0,1,0,1,0,9,454,397
57,boy,no,0,0,1,1,0,0,1,459,390
19,boy,yes,0,1,0,0,1,0,1,473,418
68,boy,yes,1,0,0,0,1,0,10,484,470
66,girl,yes,0,1,0,1,0,0,3,513,431
50,girl,no,0,0,1,0,1,0,12,536,580
58,girl,no,0,0,1,1,0,0,8,478,456
23,girl,no,0,1,0,0,1,0,21,513,433
80,girl,no,0,0,1,1,0,0,12,473,403
43,boy,no,0,0,1,1,0,0,15,473,408
74,girl,yes,0,1,0,1,0,0,8,478,416
22,girl,yes,1,0,0,0,1,0,1,484,443
17,boy,no,0,0,1,1,0,0,20,459,421
69,boy,no,0,0,1,1,0,0,6,536,442
49,girl,yes,0,1,0,1,0,0,9,528,424
18,boy,no,1,0,0,0,1,0,9,484,421
1,boy,no,1,0,0,1,0,0,5,494,450
16,boy,yes,0,1,0,0,1,0,6,418,397
27,girl,yes,1,0,0,0,1,0,0,439,450
20,boy,yes,1,0,0,0,1,0,4,473,410
74,girl,no,0,0,1,1,0,0,14,626,510
45,boy,yes,1,0,0,0,1,0,12,423,418
33,girl,yes,0,1,0,0,1,0,22,444,408
34,girl,no,0,0,1,1,0,0,2,500,467
67,boy,yes,0,1,0,1,0,0,13,444,424
4,boy,no,1,0,0,1,0,0,8,468,436
63,girl,yes,1,0,0,0,1,0,6,536,447
44,boy,no,0,0,1,1,0,0,3,494,468
55,girl,no,0,0,1,1,0,0,15,473,430
63,boy,yes,0,1,0,0,1,0,12,454,388
25,girl,yes,0,1,0,1,0,0,2,449,422
3,boy,no,0,1,0,1,0,0,9,463,424
34,girl,no,1,0,0,1,0,0,17,489,442
52,boy,no,0,0,1,1,0,0,14,429,418
58,girl,no,0,1,0,1,0,0,17,454,447
41,girl,no,1,0,0,1,0,0,15,536,485
26,boy,yes,0,1,0,0,1,0,6,468,407
17,girl,no,0,1,0,1,0,0,8,500,431
49,boy,yes,0,1,0,1,0,0,9,484,448
20,girl,yes,1,0,0,0,1,0,4,547,450
80,girl,no,0,1,0,1,0,0,13,536,465
56,boy,no,1,0,0,1,0,0,3,454,408
66,girl,no,0,1,0,1,0,0,13,463,431
33,boy,yes,0,1,0,0,1,0,5,473,434
61,girl,no,0,0,1,1,0,0,11,489,434
63,girl,yes,0,0,1,1,0,0,7,528,465
30,girl,yes,1,0,0,0,1,0,10,489,407
6,girl,no,0,0,1,1,0,0,12,478,431
18,boy,no,1,0,0,0,1,0,9,473,393
33,girl,yes,1,0,0,0,1,0,6,320,360
76,boy,no,1,0,0,1,0,0,1,463,408
22,boy,yes,0,0,1,0,1,0,3,602,518
76,girl,no,1,0,0,1,0,0,1,500,436
17,boy,yes,1,0,0,0,1,0,0,444,403
68,girl,no,0,0,1,1,0,0,8,528,485
68,boy,no,0,0,1,1,0,0,6,536,448
49,boy,no,1,0,0,1,0,0,11,536,467
26,girl,yes,1,0,0,0,1,0,15,473,428
18,boy,yes,1,0,0,0,1,0,10,513,465
78,girl,no,0,1,0,1,0,0,3,513,492
9,boy,no,1,0,0,1,0,0,5,399,400
18,boy,yes,1,0,0,1,0,0,9,434,398
49,girl,no,1,0,0,1,0,0,11,520,470
47,boy,no,1,0,0,1,0,0,5,506,424
11,girl,no,0,1,0,1,0,0,13,626,580
8,girl,yes,0,0,1,1,0,0,13,468,421
22,girl,yes,1,0,0,0,1,0,24,536,461
51,boy,no,1,0,0,1,0,0,13,459,427
36,boy,no,0,0,1,1,0,0,7,473,443
31,girl,yes,0,1,0,0,1,0,11,547,497
76,boy,no,0,0,1,1,0,0,8,520,425
35,girl,no,0,0,1,1,0,0,5,412,408
54,girl,no,0,1,0,1,0,0,7,513,450
73,girl,yes,0,1,0,1,0,0,14,520,456
13,boy,yes,0,0,1,1,0,0,4,494,439
58,boy,no,0,1,0,1,0,0,17,506,456
22,boy,no,0,0,1,0,1,0,9,536,418
34,girl,no,1,0,0,1,0,0,17,478,430
57,boy,no,0,0,1,1,0,0,8,478,424
61,girl,yes,0,0,1,1,0,0,11,500,400
55,boy,no,0,0,1,1,0,0,15,459,424
76,boy,no,0,1,0,1,0,0,13,478,410
16,girl,yes,0,0,1,0,1,0,2,484,411
76,boy,no,0,0,1,1,0,0,8,484,425
72,boy,no,0,1,0,1,0,0,10,559,495
7,boy,no,0,0,1,1,0,0,4,520,456
43,boy,no,0,0,1,1,0,0,0,513,453
52,boy,no,0,1,0,1,0,0,18,520,476
44,boy,no,0,1,0,0,1,0,0,494,437
20,boy,no,1,0,0,0,1,0,4,473,419
15,girl,yes,0,0,1,0,1,0,12,478,428
64,boy,no,0,1,0,1,0,0,5,459,522
63,girl,no,0,0,1,1,0,0,4,500,472
28,boy,yes,0,0,1,0,1,0,3,513,470
20,boy,no,0,0,1,0,1,0,21,484,443
12,boy,no,0,1,0,1,0,0,12,506,453
47,boy,no,1,0,0,1,0,0,5,454,431
33,boy,yes,0,1,0,0,1,0,22,468,433
9,boy,no,0,1,0,1,0,0,14,576,485
10,boy,no,1,0,0,1,0,0,3,484,458
15,girl,yes,0,0,1,0,1,0,12,449,421
26,girl,yes,1,0,0,0,1,0,15,459,431
61,boy,yes,0,0,1,1,0,0,7,439,391
67,boy,yes,1,0,0,1,0,0,0,459,416
48,girl,yes,1,0,0,0,1,0,4,494,445
15,girl,yes,0,1,0,0,1,0,3,478,407
16,boy,yes,0,1,0,0,1,0,17,365,397
36,boy,yes,0,1,0,1,0,0,14,449,448
8,girl,no,0,0,1,1,0,0,13,478,455
16,girl,yes,0,0,1,0,1,0,2,454,413
38,girl,no,0,1,0,1,0,0,8,454,422
40,girl,yes,0,1,0,1,0,0,21,468,440
40,girl,yes,1,0,0,1,0,0,2,513,455
20,boy,no,1,0,0,0,1,0,4,423,393
30,boy,yes,1,0,0,0,1,0,10,559,437
34,girl,no,1,0,0,1,0,0,17,478,425
57,boy,yes,0,1,0,1,0,0,8,399,390
50,boy,no,0,0,1,1,0,0,6,494,437
6,boy,no,0,1,0,1,0,0,11,423,422
44,girl,yes,1,0,0,0,1,0,24,473,436
62,boy,yes,0,0,1,1,0,0,6,459,414
30,boy,yes,0,1,0,0,1,0,24,559,495
40,girl,no,0,1,0,1,0,0,21,576,455
16,boy,yes,0,0,1,0,1,0,2,494,418
41,boy,no,0,0,1,1,0,0,18,602,497
76,boy,no,0,0,1,1,0,0,8,500,425
40,boy,yes,1,0,0,1,0,0,2,449,451
46,boy,no,1,0,0,1,0,0,12,494,442
63,girl,yes,0,1,0,0,1,0,12,484,456
14,boy,yes,0,1,0,0,1,0,1,489,413
9,boy,yes,1,0,0,1,0,0,5,439,413
37,boy,no,1,0,0,1,0,0,5,489,425
35,boy,yes,1,0,0,1,0,0,4,444,411
68,boy,yes,0,0,1,1,0,0,8,506,448
31,girl,yes,1,0,0,0,1,0,0,528,425
79,girl,yes,1,0,0,1,0,0,13,412,393
32,boy,yes,0,1,0,0,1,0,2,418,410
39,boy,yes,0,0,1,1,0,0,6,459,398
18,boy,no,1,0,0,0,1,0,9,489,434
40,girl,yes,0,0,1,1,0,0,27,434,425
73,boy,no,1,0,0,1,0,0,19,559,424
28,boy,yes,1,0,0,0,1,0,7,478,430
22,boy,yes,0,0,1,0,1,0,3,626,470
1,boy,no,0,0,1,1,0,0,14,626,565
57,girl,no,0,0,1,1,0,0,1,473,421
63,boy,no,1,0,0,1,0,0,10,513,538
33,girl,yes,1,0,0,0,1,0,6,418,397
2,girl,no,1,0,0,1,0,0,6,454,410
12,girl,no,0,0,1,1,0,0,9,602,455
47,girl,no,0,1,0,1,0,0,15,463,407
11,boy,no,0,1,0,1,0,0,13,559,510
27,boy,yes,0,0,1,0,1,0,11,520,442
65,boy,no,0,1,0,1,0,0,9,468,450
69,boy,no,1,0,0,1,0,0,16,500,439
30,boy,yes,0,0,1,0,1,0,2,547,461
30,boy,no,0,1,0,0,1,0,24,559,518
43,girl,no,0,0,1,1,0,0,15,506,434
70,girl,no,0,1,0,1,0,0,27,473,451
74,boy,no,0,0,1,1,0,0,12,459,419
1,boy,yes,1,0,0,0,1,0,10,418,400
15,girl,yes,0,1,0,0,1,0,3,468,421
76,girl,yes,1,0,0,1,0,0,2,473,408
8,girl,yes,0,1,0,1,0,0,12,423,388
41,boy,no,1,0,0,1,0,0,15,536,451
32,girl,yes,0,1,0,0,1,0,2,449,418
19,boy,yes,0,1,0,0,1,0,1,484,419
62,girl,yes,1,0,0,1,0,0,16,429,410
74,boy,yes,0,0,1,1,0,0,12,468,414
54,girl,no,1,0,0,1,0,0,13,494,453
3,boy,yes,1,0,0,1,0,0,8,520,470
53,girl,yes,0,0,1,0,1,0,9,365,391
59,boy,no,1,0,0,1,0,0,0,576,455
75,boy,no,1,0,0,1,0,0,11,449,397
58,boy,no,1,0,0,1,0,0,3,473,431
64,boy,no,0,1,0,1,0,0,5,449,439
19,girl,yes,0,1,0,0,1,0,1,489,442
27,boy,yes,0,0,1,0,1,0,11,547,447
56,boy,no,0,0,1,1,0,0,3,412,410
11,boy,no,0,1,0,1,0,0,13,602,497
70,girl,yes,0,1,0,1,0,0,27,559,474
1,boy,no,1,0,0,1,0,0,5,513,439
64,boy,yes,1,0,0,1,0,0,20,384,358
47,boy,no,1,0,0,1,0,0,5,429,413
4,boy,yes,0,1,0,1,0,0,7,449,411
43,boy,no,0,1,0,1,0,0,17,484,416
21,girl,no,1,0,0,1,0,0,1,484,447
13,boy,no,1,0,0,1,0,0,6,513,448
7,boy,no,1,0,0,1,0,0,0,494,445
25,boy,yes,0,0,1,1,0,0,12,484,422
47,girl,no,0,1,0,1,0,0,15,439,403
72,boy,no,1,0,0,1,0,0,12,536,470
4,girl,no,1,0,0,1,0,0,8,500,442
33,girl,yes,0,0,1,0,1,0,14,463,414
51,boy,no,0,1,0,1,0,0,12,494,427
72,boy,no,0,1,0,1,0,0,10,513,451
10,boy,no,1,0,0,1,0,0,3,528,476
10,boy,yes,0,1,0,1,0,0,12,418,391
51,girl,no,0,0,1,0,1,0,10,489,418
7,boy,no,0,1,0,1,0,0,9,520,443
76,girl,yes,1,0,0,1,0,0,1,500,437
18,boy,yes,0,1,0,0,1,0,11,454,414
34,boy,yes,0,0,1,1,0,0,2,434,434
57,boy,yes,1,0,0,1,0,0,2,444,397
25,girl,yes,0,1,0,1,0,0,2,494,451
45,boy,yes,0,1,0,0,1,0,11,399,380
16,girl,yes,0,0,1,0,1,0,1,429,400
4,boy,no,0,0,1,1,0,0,0,489,450
40,girl,yes,0,0,1,1,0,0,4,484,416
27,boy,yes,0,1,0,0,1,0,20,494,451
25,boy,yes,0,0,1,1,0,0,12,547,436
72,boy,no,0,0,1,1,0,0,16,520,472
68,girl,no,1,0,0,1,0,0,16,500,447
43,boy,no,1,0,0,1,0,0,3,473,407
36,girl,no,1,0,0,1,0,0,15,439,442
45,boy,yes,1,0,0,0,1,0,12,478,439
72,girl,yes,0,0,1,1,0,0,6,547,450
27,boy,no,1,0,0,0,1,0,0,513,470
6,girl,no,0,1,0,1,0,0,11,489,431
75,girl,no,0,1,0,1,0,0,11,500,431
27,girl,no,1,0,0,0,1,0,0,439,442
42,girl,no,0,1,0,1,0,0,3,439,393
21,boy,yes,0,1,0,0,1,0,5,484,414
66,boy,yes,0,1,0,1,0,0,3,429,400
21,girl,yes,1,0,0,0,1,0,1,520,455
63,boy,no,0,1,0,1,0,0,12,520,427
29,girl,yes,1,0,0,0,1,0,5,449,405
17,boy,yes,0,0,1,0,1,0,20,489,427
13,boy,no,1,0,0,1,0,0,6,500,465
49,girl,no,0,1,0,1,0,0,9,478,440
76,boy,no,0,1,0,1,0,0,13,463,413
36,girl,yes,0,1,0,1,0,0,14,444,424
22,boy,yes,1,0,0,0,1,0,24,528,440
72,girl,no,1,0,0,1,0,0,12,506,443
26,girl,yes,0,1,0,0,1,0,6,449,424
36,girl,no,0,1,0,1,0,0,14,602,451
23,boy,yes,1,0,0,0,1,0,1,494,427
66,girl,no,1,0,0,1,0,0,8,478,431
54,boy,no,1,0,0,1,0,0,13,500,461
56,boy,no,0,1,0,1,0,0,7,439,439
44,boy,yes,0,1,0,0,1,0,0,463,416
43,girl,no,1,0,0,1,0,0,3,454,421
1,girl,yes,0,1,0,1,0,0,9,429,391
59,boy,yes,0,0,1,1,0,0,14,559,490
48,girl,yes,0,0,1,1,0,0,17,459,424
22,girl,yes,1,0,0,0,1,0,24,478,437
49,boy,no,1,0,0,1,0,0,11,559,463
23,boy,no,0,0,1,0,1,0,11,468,411
56,boy,yes,0,1,0,1,0,0,7,412,388
50,girl,yes,1,0,0,1,0,0,13,468,421
33,boy,yes,0,1,0,0,1,0,22,478,421
32,girl,yes,0,0,1,0,1,0,14,439,418
40,boy,yes,0,1,0,1,0,0,21,439,418
69,boy,no,0,1,0,1,0,0,6,520,451
2,girl,yes,0,1,0,0,1,0,17,506,414
28,boy,yes,1,0,0,0,1,0,7,444,433
35,girl,yes,1,0,0,1,0,0,4,412,395
32,boy,yes,1,0,0,0,1,0,2,468,437
15,girl,yes,0,0,1,0,1,0,21,439,416
22,boy,no,0,1,0,0,1,0,7,463,424
39,girl,yes,0,0,1,1,0,0,6,473,403
51,girl,no,0,0,1,1,0,0,16,468,467
76,boy,yes,1,0,0,1,0,0,2,494,439
7,girl,yes,0,1,0,1,0,0,9,429,422
46,boy,no,1,0,0,1,0,0,12,513,433
2,boy,no,0,1,0,0,1,0,17,463,407
17,girl,no,1,0,0,1,0,0,0,513,474
23,boy,no,1,0,0,0,1,0,1,500,433
69,boy,no,0,1,0,1,0,0,6,513,436
80,boy,yes,0,0,1,1,0,0,12,459,407
42,boy,no,0,0,1,1,0,0,0,513,442
8,boy,no,0,0,1,1,0,0,13,500,437
45,girl,yes,0,0,1,0,1,0,3,429,398
56,boy,no,1,0,0,1,0,0,3,439,407
16,boy,yes,0,1,0,0,1,0,6,429,407
76,boy,no,1,0,0,1,0,0,1,536,450
51,boy,no,0,0,1,1,0,0,16,459,448
29,girl,yes,0,1,0,0,1,0,17,459,447
54,girl,no,1,0,0,1,0,0,13,439,419
29,boy,yes,1,0,0,0,1,0,5,434,397
54,girl,no,0,0,1,1,0,0,12,494,437
27,girl,yes,0,1,0,0,1,0,20,473,487
45,girl,yes,1,0,0,0,1,0,12,449,402
49,girl,no,0,0,1,1,0,0,8,463,434
44,boy,yes,1,0,0,0,1,0,24,602,461
9,girl,yes,0,1,0,1,0,0,14,494,478
9,boy,no,0,0,1,1,0,0,14,506,460
70,girl,yes,0,1,0,1,0,0,14,528,436
50,boy,yes,0,0,1,1,0,0,12,506,421
60,boy,yes,0,0,1,0,1,0,11,429,425
50,girl,yes,0,1,0,1,0,0,12,459,434
9,boy,no,0,0,1,1,0,0,14,506,487
